lic_number,business_name,business_dba,phone_number,qualifier,zip,renewal_date,classification,status
83294,Mark Walle,"",(704) 361-3706,Mark Richard Walle,28227,"",Building,Valid
83295,"Cynergy Solutions, LLC","",(252) 982-6807,Michael James Dawson,27566,"",Building,Valid
83296,"Clay Patrick Sessoms, Sr.","",(910) 639-6518,Clay P. Sessoms,28374,"",Residential,Valid
83297,Birdsong Development L.L.C.,"",(704) 292-9895,Tyler Cole Garverick,28173,2021-01-01,Building,Valid
83298,"Dauntless Construction, LLC","",(919) 796-0274,Curtis Roland Hoffman,27526,"",Building,Valid
83299,"C3 Scott, Inc.                                              ", ,(252) 241-3272,William Cody Scott,28584,2021-01-01,Building,Valid
83300,"Alstruc, Inc.","",(866) 257-8782,Brandon Mitchell Hall,28466,2021-01-01,Building,Valid
83301,"A.G. Webb Builders, LLC","",(252) 292-4641,Andrew Grayson Webb,28516,2021-01-01,Building,Valid
83302,Atrios Homes LLC,"",(910) 524-3158,Maria Teresa Garcia Torres,28405,"",Building,Valid
83303,"KO Construction and Contracting, LLC","",(704) 654-9268,Kurt Allen Odom,28079,"",Building,Valid
83304,"The Building Bureau, LLC, T/A",Bureau Builders,(910) 603-2141,Daniel B. Bureau,27376,"",Building,Valid
83305,Hubert M. Bramble,"",(910) 476-8968,Hubert M. Bramble,28348,"",Building,Valid
83306,Alexandra Evelyn Ferri,"",(919) 961-4076,Alexandra Evelyn Ferri,27106,"",Building,Valid
83307,"PAC Contractors, LLC","",(336) 364-1664,Chandler John-Paul Hair,27583,2021-01-01,Building,Valid
83308,"Wildwood Timbers & Landscape, LLC","",(336) 229-3943,Cody Aaron Horn,27217,"",Building,Valid
83309,"Wood Enterprises General Contractor, LLC","",(252) 339-9855,Eric M. Wood,27921,"",Building,Valid
83310,White House Building Associates LLC,"",(910) 978-5195,Larry R. White,28451,"",Residential,Valid
83311,"Deadeye Renovations, LLC","",(864) 404-5379,David Joshua Scott,28056,"",Building,Valid
83312,"Patrick Michael Custom Builders, LLC","",(917) 921-5648,Patrick Michael Canino,28711,"",Building,Valid
83313,"Apex Plumbing and Heating, Inc.","","","William Randall Roberson, II",27502,2021-01-01,Building,Valid
83314,Charles Shannon Barrett,"",(336) 840-9810,Charles Shannon Barrett,27410,"",Building,Valid
83315,Designcraft Enterprises LLC,"",(919) 868-1007,Gregory Todd Benner,27615,"",Building,Valid
83316,"Carolinas Development Group, LLC","",(704) 812-0588,Tracy A. Caves,28203,"",Highway,Valid
83317,"Coastal Traditions Design Group, LLC","",(910) 386-3109,Michael J. Poziombka,28409,"",Residential,Valid
83318,"Continuum Environmental Services,Ltd T/A","Continuum Environmental Services, Ltd., LLC",(330) 662-4018,Peter J. Augustin,44286,2021-01-01,Public Utilities,Valid
83319,"Contractors Team, LLC","",(828) 243-7945,Elizabeth M. Walsh,28801,"",Building,Valid
83320,DHA Construction LLC,"",(704) 408-5713,Dale Robert Watson,28673,"",Residential,Valid
83321,"WJB Investment Group, LLC","",(336) 209-7383,William Joseph Berry,27405,"",Building,Valid
83322,"Custom Structures, Inc.","",(252) 349-6922,"S. Hugh Vernelson, Jr.",28573,"",Residential,Valid
83323,"Isabella Grace Refined Homes, LLC","",(910) 660-9433,Annah Leah Norris,28429,"",Building,Valid
83324,"American Property Restoration, Inc.","",(770) 733-3584,Rene Noussimie-Touko,30340,"",Building,Valid
83325,"CPF Construction, LLC","",(803) 983-0543,"Harold R. Waynick, III",29150,"",Building,Valid
83326,"FG Green Homes, LLC","",(919) 669-4646,Vincent Thomas DeCarlo,27707,"",Residential,Valid
83327,"Red Ladder Residential, Inc.","",(919) 988-0075,Nicole R. Goolsby,27612,"",Building,Valid
83328,The GESCO Group Inc.,"",(704) 309-6879,"George E. Siek, Jr.",29710,"",Building,Valid
83329,"Wimberly Builders, LLC","",(919) 669-7066,Tony Ray Wimberly,27501,"",Building,Valid
